peak_id,peak_name,elevation_ft,summit_lat,summit_lon,nearest_city,trailhead_name,trailhead_lat,trailhead_lon
146,Navajo Peak,13048,40.0534433,-105.646445,,,,
147,Apache Peak,13176,40.058379,-105.6511043,,,,
148,Shoshoni Peak,12913,40.0670707,-105.6388601,,,,
149,Pawnee Peak,12907,40.081433,-105.632514,,,,
150,Mount Toll,12700,40.0884279,-105.633754,,,,
151,Paiute Peak,12923,40.0974922,-105.6321053,,,,
152,Satanta Peak,11932,40.0255359,-105.689887,,,,
153,Mount George,12657,40.056678,-105.6581017,,,,
154,Mount Achonee,12438,40.072495,-105.6783264,,,,
155,Lone Eagle Peak,11834,40.0693983,-105.6606361,,,,
156,South Arapaho Peak,13274,40.0196352,-105.6497795,,,,
157,Little Pawnee Peak,12267,40.0826932,-105.6209948,,,,
158,Mount Audubon,13153,40.0989998,-105.6162951,,,,
159,Helmet Peak,11873,37.4111246,-108.1272452,,,,
160,Snowstorm Peak,12421,37.4388981,-108.0118789,,,,
161,Cumberland Mountain,12244,37.4440226,-108.0043572,,,,
162,Sharkstooth Peak,12333,37.4598078,-108.0729727,,,,
163,Madden Peak,11936,37.3824578,-108.105802,,,,
164,Deadwood Mountain,12162,37.3828609,-108.0435247,,,,
165,Baker Peak,11827,37.3981726,-108.0317719,,,,
166,Lewis Mountain,12579,37.4220188,-108.0145081,,,,
167,Gibbs Peak,12211,37.4097309,-108.102416,,,,
168,Burwell Peak,12375,37.4209153,-108.0903435,,,,
169,Babcock Peak,12966,37.428296,-108.0770098,,,,
170,Spiller Peak,13002,37.4279158,-108.0872892,,,,
171,Mount Moss,13071,37.4389486,-108.0782487,,,,
172,Centennial Peak,12828,37.4473328,-108.0769016,,,,
173,Hesperus Mountain,12989,37.4450593,-108.0889536,,,,
174,Diorite Peak,12602,37.4399407,-108.0508765,,,,
175,Silver Mountain,12277,37.3868621,-108.0294433,,,,
176,Craig Peak,11857,39.4958122,-106.6381447,,,,
177,Mount Thomas,11854,39.4195977,-106.7435727,,,,
178,Mount Jackson,13583,39.4852904,-106.5366449,,,,
179,Gold Dust Peak,13278,39.4789345,-106.5945946,,,,
180,Fools Peak,12835,39.4508128,-106.5994444,,,,
181,Eagle Peak,12884,39.4453365,-106.5813465,,,,
182,Avalanche Peak,12651,39.4160745,-106.5802137,,,,
183,Middle Mountain,12507,39.4406249,-106.5243578,,,,
184,Savage Peak,13025,39.3803164,-106.5202121,,,,
185,Notch Mountain,13123,39.4773805,-106.4604033,,,,
186,Mount of the Holy Cross,14007,39.4666238,-106.481692,,,,
187,Whitney Peak,13212,39.432725,-106.4729461,,,,
188,Resolution Mountain,11896,39.4899796,-106.2945678,,,,
189,Ptarmigan Hill,12126,39.4947649,-106.2596315,,,,
190,Sugarloaf Peak,12490,39.4624475,-106.2481133,,,,
191,Union Mountain,12201,39.4683306,-106.1749481,,,,
192,Copper Mountain,12392,39.4690021,-106.1570851,,,,
193,Mayflower Hill,12201,39.4233518,-106.142212,,,,
194,Elk Mountain,12674,39.4540558,-106.2382201,,,,
195,Pearl Peak,12113,39.4440063,-106.2462531,,,,
196,Corbett Peak,12562,39.4408143,-106.2311374,,,,
197,North Sheep Mountain,12402,39.4263037,-106.2331112,,,,
198,East Sheep Mountain,11877,39.416648,-106.2089019,,,,
199,Jacque Peak,13107,39.4547731,-106.1970839,,,,
