peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Lamb Mountain,12320,39.1902625,-106.1212908,,,
Sheep Mountain,12707,39.1937121,-106.1117818,,,
North Maroon Peak,14022,39.076094,-106.9870852,,,
Pyramid Peak,14029,39.0717385,-106.9499676,,,
Keefe Peak,13327,39.0326175,-106.9042174,,,
Belleview Mountain,12890,39.0445446,-106.9984531,,,
Maroon Peak,14163,39.0706997,-106.9888794,,,
Hunter Peak,13323,39.052956,-106.903812,,,
Hayden Peak,13419,39.0592282,-106.8519311,,,
Ashcroft Mountain,12372,39.0428954,-106.7778047,,,
McArthur Mountain,12090,39.0593173,-106.7673333,,,
Cathedral Peak,13750,39.0343619,-106.8588973,,,
Conundrum Peak,13832,39.0144457,-106.86364,,,
Castle Peak,14274,39.0096902,-106.8612901,,,
Green Mountain,12671,39.1092705,-106.6540834,,,
New York Peak,12621,39.0858838,-106.6930356,,,
Gold Hill,12205,39.0459843,-106.7397692,,,
Larson Peak,12690,39.032863,-106.6352582,,,
Truro Peak,13071,39.0460183,-106.6318175,,,
Independence Mountain,12654,39.0940177,-106.6106822,,,
Star Mountain,12897,39.061602,-106.5332022,,,
Ouray Peak,12792,39.0542685,-106.5651273,,,
Grizzly Peak,13842,39.0424852,-106.597521,,,
Red Mountain,13379,39.0248467,-106.5917304,,,
Middle Mountain,12953,39.0127637,-106.5755961,,,
Garfield Peak,13678,39.0306078,-106.5950007,,,
Bull Hill,13638,39.0995626,-106.4625828,,,
Casco Peak,13793,39.1140514,-106.4938211,,,
Mount Elbert,14438,39.1178687,-106.4452569,,,
Parry Peak,12628,39.084019,-106.4138403,,,
La Plata Peak,14344,39.0293628,-106.4731089,,,
Twin Peaks,13287,39.0423585,-106.4254736,,,
Quail Mountain,13445,39.0178923,-106.3946729,,,
Mount Hope,13845,39.0210977,-106.4198667,,,
South Peak,12881,39.1220521,-106.2057999,,,
Mount Epworth,11818,39.922382,-105.6952503,,,
Mount Nystrom,12618,39.8090505,-105.9018608,,,
Saint Louis Peak,12169,39.7949801,-105.9386149,,,
Bills Peak,12612,39.8557804,-105.9626778,,,
Byers Peak,12746,39.8645727,-105.947484,,,
Stanley Mountain,12467,39.785583,-105.8228409,,,
Colorado Mines Peak,12461,39.7949897,-105.764033,,,
Vasquez Peak,12785,39.7960915,-105.8550001,,,
Twin Cones,12028,39.8372852,-105.7861716,,,
Cone Mountain,12136,39.7828715,-105.740893,,,
Mount Eva,13028,39.8276127,-105.7189062,,,
Witter Peak,12825,39.8145101,-105.7162558,,,
Breckinridge Peak,12808,39.799145,-105.7242902,,,
Mount Flora,13084,39.8048325,-105.7360837,,,
Parry Peak,13304,39.8380364,-105.7133278,,,
James Peak,13222,39.8520053,-105.6902726,,,
Mount Bancroft,13179,39.8373802,-105.7001204,,,
Kingston Peak,12073,39.8475962,-105.6507826,,,
Mount Trelease,12425,39.695569,-105.9028218,,,
Coon Hill,12690,39.6887702,-105.9456895,,,
Hagar Mountain,13045,39.7102747,-105.9209853,,,
Pettingell Peak,13435,39.7286355,-105.9046172,,,
Grizzly Peak,13340,39.644111,-105.8486543,,,
Grays Peak,14275,39.6337372,-105.8173702,,,
Mount Edwards,13770,39.63632,-105.7940156,,,
Torreys Peak,14272,39.6426923,-105.8211948,,,
Kelso Mountain,13074,39.6588695,-105.8002759,,,
Baker Mountain,12589,39.6607654,-105.8402538,,,
Ganley Mountain,12789,39.6685557,-105.7763215,,,
Mount Sniktau,13091,39.6784129,-105.8575207,,,
Woods Mountain,12887,39.7304544,-105.8397217,,,
Engelmann Peak,13314,39.7454702,-105.8006821,,,
Robeson Peak,13084,39.7332287,-105.8062809,,,
Mount Parnassus,13533,39.7200631,-105.822606,,,
Bard Peak,13455,39.7203245,-105.8042516,,,
Silver Plume Mountain,12454,39.7138696,-105.7669409,,,
Otter Mountain,12753,39.6278081,-105.7323251,,,
Paines Mountain,12041,39.6588697,-105.726384,,,
Sugarloaf Peak,12444,39.6496537,-105.6914032,,,
Republican Mountain,12320,39.7143234,-105.7352503,,,
Goliath Peak,12201,39.6403522,-105.5989227,,,
Wise Mountain,12024,39.5113069,-105.9042758,,,
Independence Mountain,12530,39.5816272,-105.9100876,,,
Bear Mountain,12474,39.5721365,-105.9035495,,,
Keystone Mountain,12398,39.5590468,-105.9104097,,,
Handcart Peak,12493,39.5236838,-105.84545,,,
